年份,国家,灾害类型,灾害子类型,区域,灾害频次,总死亡人数,总受灾人数,总经济损失(千美元)
1920,中国,气候灾害,干旱,中国,1,500000,20000000,0.0
1928,中国,气候灾害,干旱,中国,1,3000000,0,0.0
1965,中国,气候灾害,干旱,中国,1,0,0,27118.0
1978,中国,气候灾害,干旱,中国,1,0,6000000,0.0
1979,中国,气候灾害,干旱,中国,1,0,0,0.0
1983,中国,气候灾害,干旱,中国,1,0,0,0.0
1985,中国,气候灾害,干旱,中国,1,0,0,0.0
1988,中国,气候灾害,干旱,中国,1,1400,49000000,942887.0
1991,中国,气候灾害,干旱,中国,1,2000,5000000,0.0
1992,中国,气候灾害,干旱,中国,1,0,0,53200.0
1992,中国,气候灾害,干旱,中国,1,0,12000000,0.0
1994,中国,气候灾害,干旱,中国,1,0,82000000,13755200.0
1994,中国,气候灾害,干旱,中国,1,0,6690000,0.0
1995,中国,气候灾害,干旱,中国,1,0,9060000,12800.0
1997,中国,气候灾害,干旱,中国,1,0,0,169100.0
1999,中国,气候灾害,干旱,中国,1,0,19000000,0.0
2000,中国,气候灾害,干旱,中国,1,0,15000000,796115.0
2000,中国,气候灾害,干旱,中国,1,0,5000000,0.0
2000,中国,气候灾害,干旱,中国,1,0,0,0.0
2001,中国,气候灾害,干旱,中国,1,0,530000,0.0
2001,中国,气候灾害,干旱,中国,1,0,15800000,0.0
2002,中国,气候灾害,干旱,中国,1,0,60000000,0.0
2002,中国,气候灾害,干旱,中国,1,0,900000,0.0
2002,中国,气候灾害,干旱,中国,1,0,3660000,1210000.0
2003,中国,气候灾害,干旱,中国,1,0,48000000,0.0
2003,中国,气候灾害,干旱,中国,1,0,3000000,0.0
2005,中国,气候灾害,干旱,中国,1,0,174000,0.0
2005,中国,气候灾害,干旱,中国,1,0,7600000,0.0
2006,中国,气候灾害,干旱,中国,1,134,18000000,2910000.0
2008,中国,气候灾害,干旱,中国,1,0,3700000,234000.0
2009,中国,气候灾害,干旱,中国,1,0,160000,0.0
2009,中国,气候灾害,干旱,中国,1,0,60000000,3600000.0
2010,中国,气候灾害,干旱,中国,1,0,35000000,2370000.0
2013,中国,气候灾害,干旱,中国,1,0,5000000,0.0
2014,中国,气候灾害,干旱,中国,1,0,226000,1180000.0
2014,中国,气候灾害,干旱,中国,1,0,27500000,2500000.0
2015,中国,气候灾害,干旱,中国,1,0,0,2464000.0
2016,中国,气候灾害,干旱,中国,1,0,10000000,3000000.0
2017,中国,气候灾害,干旱,中国,1,0,2000000,122000.0
1964,伊朗,气候灾害,干旱,西亚/中东,1,0,625000,0.0
1999,伊朗,气候灾害,干旱,西亚/中东,1,0,37000000,3300000.0
2009,吉尔吉斯斯坦,气候灾害,干旱,中亚,1,0,2000000,0.0
1977,老挝,气候灾害,干旱,东南亚,1,0,3500000,0.0
1987,老挝,气候灾害,干旱,东南亚,1,0,0,0.0
1988,老挝,气候灾害,干旱,东南亚,1,0,730000,0.0
1991,老挝,气候灾害,干旱,东南亚,1,0,0,1000.0
1999,老挝,气候灾害,干旱,东南亚,1,0,20000,0.0
1964,尼泊尔,气候灾害,干旱,南亚,1,0,0,0.0
1967,尼泊尔,气候灾害,干旱,南亚,1,0,0,0.0
1972,尼泊尔,气候灾害,干旱,南亚,1,0,900000,10000.0
1979,尼泊尔,气候灾害,干旱,南亚,1,0,3500000,0.0
2006,尼泊尔,气候灾害,干旱,南亚,1,0,200000,0.0
2009,尼泊尔,气候灾害,干旱,南亚,1,0,303000,0.0
1999,巴基斯坦,气候灾害,干旱,南亚,1,143,2200000,247000.0
2000,塔吉克斯坦,气候灾害,干旱,中亚,1,0,3000000,57000.0
2008,塔吉克斯坦,气候灾害,干旱,中亚,1,0,800000,0.0
1991,泰国,气候灾害,干旱,东南亚,1,0,2500000,0.0
1993,泰国,气候灾害,干旱,东南亚,1,0,0,2000.0
1999,泰国,气候灾害,干旱,东南亚,1,0,6000000,0.0
2002,泰国,气候灾害,干旱,东南亚,1,0,5000000,2300.0
2005,泰国,气候灾害,干旱,东南亚,1,0,0,420000.0
2008,泰国,气候灾害,干旱,东南亚,1,0,10000000,0.0
2010,泰国,气候灾害,干旱,东南亚,1,0,6482602,0.0
2011,泰国,气候灾害,干旱,东南亚,1,0,0,0.0
2012,泰国,气候灾害,干旱,东南亚,1,0,12000000,1200.0
2014,泰国,气候灾害,干旱,东南亚,1,0,0,0.0
2015,泰国,气候灾害,干旱,东南亚,1,0,0,3300000.0
2000,乌兹别克斯坦,气候灾害,干旱,中亚,1,0,600000,50000.0
2000,蒙古,气候灾害,干旱,蒙俄,1,0,450000,0.0
1978,菲律宾,气候灾害,干旱,东南亚,1,0,3665,0.0
1980,菲律宾,气候灾害,干旱,东南亚,1,0,1002100,0.0
1983,菲律宾,气候灾害,干旱,东南亚,1,0,1691060,0.0
1987,菲律宾,气候灾害,干旱,东南亚,1,0,1002100,0.0
1990,菲律宾,气候灾害,干旱,东南亚,1,0,254282,64000.0
1998,菲律宾,气候灾害,干旱,东南亚,1,8,2600000,0.0
2002,菲律宾,气候灾害,干旱,东南亚,1,0,0,453.0
2007,菲律宾,气候灾害,干旱,东南亚,1,0,0,0.0
2015,菲律宾,气候灾害,干旱,东南亚,1,0,181687,84399.0
2018,波兰,气候灾害,干旱,中东欧,1,0,0,0.0
1993,俄罗斯,气候灾害,干旱,蒙俄,1,0,0,0.0
1998,俄罗斯,气候灾害,干旱,蒙俄,1,0,0,0.0
2003,俄罗斯,气候灾害,干旱,蒙俄,1,0,1000000,0.0
2010,俄罗斯,气候灾害,干旱,蒙俄,1,0,0,1400000.0
2012,俄罗斯,气候灾害,干旱,蒙俄,1,0,0,1140000.0
1969,阿富汗,气候灾害,干旱,南亚,1,0,48000,200.0
1971,阿富汗,气候灾害,干旱,南亚,1,0,0,0.0
2000,阿富汗,气候灾害,干旱,南亚,1,37,2580000,50.0
2006,阿富汗,气候灾害,干旱,南亚,1,0,1900000,0.0
2008,阿富汗,气候灾害,干旱,南亚,1,0,280000,0.0
2011,阿富汗,气候灾害,干旱,南亚,1,0,1750000,142000.0
2018,阿富汗,气候灾害,干旱,南亚,1,0,2200000,0.0
1943,孟加拉,气候灾害,干旱,南亚,1,1900000,0,0.0
1947,孟加拉,气候灾害,干旱,南亚,1,0,0,0.0
1974,孟加拉,气候灾害,干旱,南亚,1,0,0,0.0
1979,孟加拉,气候灾害,干旱,南亚,1,18,2000,0.0
1983,孟加拉,气候灾害,干旱,南亚,1,0,20000000,0.0
1989,孟加拉,气候灾害,干旱,南亚,1,0,5000000,0.0
2009,孟加拉,气候灾害,干旱,南亚,1,0,0,0.0
1987,柬埔寨,气候灾害,干旱,东南亚,1,0,0,0.0
1994,柬埔寨,气候灾害,干旱,东南亚,1,0,5000000,100000.0
2001,柬埔寨,气候灾害,干旱,东南亚,1,0,300000,0.0
2002,柬埔寨,气候灾害,干旱,东南亚,1,0,650000,38000.0
2005,柬埔寨,气候灾害,干旱,东南亚,1,0,600000,0.0
2016,柬埔寨,气候灾害,干旱,东南亚,1,0,2500000,0.0
1900,印度,气候灾害,干旱,南亚,1,1250000,0,0.0
1942,印度,气候灾害,干旱,南亚,1,1500000,0,0.0
1964,印度,气候灾害,干旱,南亚,1,0,500000,0.0
1964,印度,气候灾害,干旱,南亚,1,0,166000,0.0
1965,印度,气候灾害,干旱,南亚,1,1500000,100000000,100000.0
1972,印度,气候灾害,干旱,南亚,1,0,200000000,100000.0
1979,印度,气候灾害,干旱,南亚,1,0,10000000,200000.0
1982,印度,气候灾害,干旱,南亚,1,0,100000000,0.0
1987,印度,气候灾害,干旱,南亚,1,300,300000000,0.0
1993,印度,气候灾害,干旱,南亚,1,0,1175000,0.0
1996,印度,气候灾害,干旱,南亚,1,0,0,542400.0
2000,印度,气候灾害,干旱,南亚,1,20,50000000,588000.0
2002,印度,气候灾害,干旱,南亚,1,0,300000000,910722.0
2009,印度,气候灾害,干旱,南亚,1,0,0,0.0
2015,印度,气候灾害,干旱,南亚,1,0,330000000,3000000.0
1998,马来西亚,气候灾害,干旱,东南亚,1,0,5000,0.0
2014,马来西亚,气候灾害,干旱,东南亚,1,0,2200000,0.0
1977,斯里兰卡,气候灾害,干旱,南亚,1,0,250000,0.0
1979,斯里兰卡,气候灾害,干旱,南亚,1,0,0,0.0
1980,斯里兰卡,气候灾害,干旱,南亚,1,0,0,0.0
1981,斯里兰卡,气候灾害,干旱,南亚,1,0,0,0.0
1982,斯里兰卡,气候灾害,干旱,南亚,1,0,2000000,0.0
1987,斯里兰卡,气候灾害,干旱,南亚,1,0,2200000,0.0
1988,斯里兰卡,气候灾害,干旱,南亚,1,0,806000,0.0
2001,斯里兰卡,气候灾害,干旱,南亚,1,0,1000000,0.0
2012,斯里兰卡,气候灾害,干旱,南亚,1,0,1800000,0.0
2014,斯里兰卡,气候灾害,干旱,南亚,1,0,1800000,25000.0
2016,斯里兰卡,气候灾害,干旱,南亚,1,0,900000,20000.0
1987,越南,气候灾害,干旱,东南亚,1,0,0,0.0
1997,越南,气候灾害,干旱,东南亚,1,0,3000000,407000.0
1999,越南,气候灾害,干旱,东南亚,1,0,1400000,0.0
2002,越南,气候灾害,干旱,东南亚,1,0,1300000,200000.0
2005,越南,气候灾害,干旱,东南亚,1,0,410000,42120.0
2015,越南,气候灾害,干旱,东南亚,1,0,1750000,6750000.0
1966,印度尼西亚,气候灾害,干旱,东南亚,1,8000,204000,0.0
1972,印度尼西亚,气候灾害,干旱,东南亚,1,0,3500000,70000.0
1978,印度尼西亚,气候灾害,干旱,东南亚,1,63,17220,1200.0
1982,印度尼西亚,气候灾害,干旱,东南亚,1,280,0,0.0
1984,印度尼西亚,气候灾害,干旱,东南亚,1,230,2000,0.0
1986,印度尼西亚,气候灾害,干旱,东南亚,1,84,1000,0.0
1987,印度尼西亚,气候灾害,干旱,东南亚,1,0,0,0.0
1997,印度尼西亚,气候灾害,干旱,东南亚,1,672,1065000,88000.0
2003,印度尼西亚,气候灾害,干旱,东南亚,1,0,15000,1000.0
2015,印度尼西亚,气候灾害,干旱,东南亚,1,11,0,0.0
2007,东帝汶,气候灾害,干旱,东南亚,1,0,0,0.0
2016,东帝汶,气候灾害,干旱,东南亚,1,0,120000,0.0
1989,阿尔巴尼亚,气候灾害,干旱,中东欧,1,0,3200000,0.0
2000,波黑,气候灾害,干旱,中东欧,1,0,0,158000.0
2003,波黑,气候灾害,干旱,中东欧,1,0,62575,140000.0
1983,保加利亚,气候灾害,干旱,中东欧,1,0,0,0.0
2000,保加利亚,气候灾害,干旱,中东欧,1,0,0,0.0
2003,克罗地亚,气候灾害,干旱,中东欧,1,0,0,330000.0
1986,匈牙利,气候灾害,干旱,中东欧,1,0,0,500000.0
1992,匈牙利,气候灾害,干旱,中东欧,1,0,0,384000.0
2003,匈牙利,气候灾害,干旱,中东欧,1,0,0,100000.0
1992,立陶宛,气候灾害,干旱,中东欧,1,0,0,52900.0
2006,立陶宛,气候灾害,干旱,中东欧,1,0,0,225573.0
2018,立陶宛,气候灾害,干旱,中东欧,1,0,0,0.0
1993,马其顿,气候灾害,干旱,中东欧,1,0,10000,0.0
2000,摩尔多瓦,气候灾害,干旱,中东欧,1,2,0,0.0
2007,摩尔多瓦,气候灾害,干旱,中东欧,1,0,210394,406000.0
2012,摩尔多瓦,气候灾害,干旱,中东欧,1,0,5800,0.0
1983,罗马尼亚,气候灾害,干旱,中东欧,1,0,0,0.0
2000,罗马尼亚,气候灾害,干旱,中东欧,1,0,0,500000.0
2012,乌克兰,气候灾害,干旱,中东欧,1,0,0,1690000.0
2000,亚美尼亚,气候灾害,干旱,西亚/中东,1,0,297000,100000.0
2000,阿塞拜疆,气候灾害,干旱,西亚/中东,1,0,0,100000.0
2000,格鲁吉亚,气候灾害,干旱,西亚/中东,1,0,696000,200000.0
1969,伊拉克,气候灾害,干旱,西亚/中东,1,0,500000,2000.0
1998,伊拉克,气候灾害,干旱,西亚/中东,1,0,0,0.0
1999,以色列,气候灾害,干旱,西亚/中东,1,0,0,75000.0
1999,约旦,气候灾害,干旱,西亚/中东,1,0,180000,0.0
2000,约旦,气候灾害,干旱,西亚/中东,1,0,150000,0.0
1999,叙利亚,气候灾害,干旱,西亚/中东,1,0,329000,0.0
2008,叙利亚,气候灾害,干旱,西亚/中东,1,0,1300000,0.0
1969,也门,气候灾害,干旱,西亚/中东,1,0,2020000,10000.0
1977,也门,气候灾害,干旱,西亚/中东,1,0,0,0.0
1975,也门,气候灾害,干旱,西亚/中东,1,0,0,0.0
1977,也门,气候灾害,干旱,西亚/中东,1,0,0,0.0
1906,中国,地球物理灾害,地震,中国,1,1266,0,0.0
1907,中国,地球物理灾害,地震,中国,1,12000,0,0.0
1917,中国,地球物理灾害,地震,中国,1,1800,0,0.0
1918,中国,地球物理灾害,地震,中国,1,10000,0,0.0
1920,中国,地球物理灾害,地震,中国,1,180000,0,0.0
1923,中国,地球物理灾害,地震,中国,1,5000,0,0.0
1923,中国,地球物理灾害,地震,中国,1,2200,0,0.0
1925,中国,地球物理灾害,地震,中国,1,5000,0,0.0
1927,中国,地球物理灾害,地震,中国,1,200000,0,0.0
1932,中国,地球物理灾害,地震,中国,1,70000,0,0.0
1933,中国,地球物理灾害,地震,中国,1,10000,0,0.0
1942,中国,地球物理灾害,地震,中国,1,30,0,0.0
1954,中国,地球物理灾害,地震,中国,1,50,300,0.0
1955,中国,地球物理灾害,地震,中国,1,39,113,0.0
1959,中国,地球物理灾害,地震,中国,1,47,0,0.0
1966,中国,地球物理灾害,地震,中国,1,0,0,0.0
1969,中国,地球物理灾害,地震,中国,1,3000,0,0.0
1970,中国,地球物理灾害,地震,中国,1,10000,0,0.0
1974,中国,地球物理灾害,地震,中国,1,20000,0,0.0
1975,中国,地球物理灾害,地震,中国,1,10000,0,0.0
1976,中国,地球物理灾害,地震,中国,1,242000,164000,5600000.0
1976,中国,地球物理灾害,地震,中国,1,0,0,0.0
1979,中国,地球物理灾害,地震,中国,1,41,2000,0.0
1979,中国,地球物理灾害,地震,中国,1,0,2104,0.0
1981,中国,地球物理灾害,地震,中国,1,150,25850,0.0
1982,中国,地球物理灾害,地震,中国,1,10,5,0.0
1983,中国,地球物理灾害,地震,中国,1,34,18700,0.0
1985,中国,地球物理灾害,地震,中国,1,22,300,0.0
1985,中国,地球物理灾害,地震,中国,1,67,16100,0.0
1985,中国,地球物理灾害,地震,中国,1,1,120,0.0
1986,中国,地球物理灾害,地震,中国,1,0,290,0.0
1987,中国,地球物理灾害,地震,中国,1,0,2085,0.0
1987,中国,地球物理灾害,地震,中国,1,0,185084,0.0
1987,中国,地球物理灾害,地震,中国,1,0,7000,0.0
1988,中国,地球物理灾害,地震,中国,1,0,50060,0.0
1988,中国,地球物理灾害,地震,中国,1,939,1270364,269000.0
1989,中国,地球物理灾害,地震,中国,1,8,40107,164000.0
1989,中国,地球物理灾害,地震,中国,1,29,105140,0.0
1989,中国,地球物理灾害,地震,中国,1,1,26591,54000.0
1989,中国,地球物理灾害,地震,中国,1,4,52800,0.0
1989,中国,地球物理灾害,地震,中国,1,0,21404,0.0
1990,中国,地球物理灾害,地震,中国,1,1,30016,0.0
1990,中国,地球物理灾害,地震,中国,1,126,34319,58350.0
1991,中国,地球物理灾害,地震,中国,1,0,42808,0.0
1991,中国,地球物理灾害,地震,中国,1,1,240542,0.0
1992,中国,地球物理灾害,地震,中国,1,0,16000,3150.0
1993,中国,地球物理灾害,地震,中国,1,0,142146,0.0
1993,中国,地球物理灾害,地震,中国,1,0,504,0.0
1994,中国,地球物理灾害,地震,中国,1,1,500,0.0
1994,中国,地球物理灾害,地震,中国,1,0,5860,0.0
1994,中国,地球物理灾害,地震,中国,1,0,285,0.0
1995,中国,地球物理灾害,地震,中国,1,11,1000136,36100.0
1995,中国,地球物理灾害,地震,中国,1,46,20297,80000.0
1995,中国,地球物理灾害,地震,中国,1,14,5060,0.0
1996,中国,地球物理灾害,地震,中国,1,309,5077795,506000.0
1996,中国,地球物理灾害,地震,中国,1,18,200300,0.0
1996,中国,地球物理灾害,地震,中国,1,26,33128,24000.0
1996,中国,地球物理灾害,地震,中国,1,0,137,0.0
1997,中国,地球物理灾害,地震,中国,1,12,155040,0.0
1997,中国,地球物理灾害,地震,中国,1,9,500089,0.0
1997,中国,地球物理灾害,地震,中国,1,2,20006,0.0
1997,中国,地球物理灾害,地震,中国,1,9,100089,0.0
1998,中国,地球物理灾害,地震,中国,1,49,598000,285500.0
1998,中国,地球物理灾害,地震,中国,1,3,337443,70000.0
1998,中国,地球物理灾害,地震,中国,1,0,107084,22600.0
1998,中国,地球物理灾害,地震,中国,1,0,2000,0.0
1998,中国,地球物理灾害,地震,中国,1,0,25028,0.0
1998,中国,地球物理灾害,地震,中国,1,3,111862,0.0
1998,中国,地球物理灾害,地震,中国,1,0,3528,0.0
1999,中国,地球物理灾害,地震,中国,1,0,16003,0.0
1999,中国,地球物理灾害,地震,中国,1,0,3020004,44000.0
1999,中国,地球物理灾害,地震,中国,1,0,800,0.0
2000,中国,地球物理灾害,地震,中国,1,7,1855007,73500.0
2000,中国,地球物理灾害,地震,中国,1,1,10302,483.0
2000,中国,地球物理灾害,地震,中国,1,0,62030,0.0
2000,中国,地球物理灾害,地震,中国,1,0,100,0.0
2000,中国,地球物理灾害,地震,中国,1,1,177611,43000.0
2001,中国,地球物理灾害,地震,中国,1,3,300109,24000.0
2001,中国,地球物理灾害,地震,中国,1,2,150190,31000.0
2001,中国,地球物理灾害,地震,中国,1,2,10605,36000.0
2001,中国,地球物理灾害,地震,中国,1,0,25000,0.0
2001,中国,地球物理灾害,地震,中国,1,1,17220,0.0
2002,中国,地球物理灾害,地震,中国,1,0,378,0.0
2002,中国,地球物理灾害,地震,中国,1,2,65500,0.0
2003,中国,地球物理灾害,地震,中国,1,268,517000,157000.0
2003,中国,地球物理灾害,地震,中国,1,0,3300,0.0
2003,中国,地球物理灾害,地震,中国,1,1,8003,0.0
2003,中国,地球物理灾害,地震,中国,1,16,1295584,75000.0
2003,中国,地球物理灾害,地震,中国,1,4,455500,167000.0
2003,中国,地球物理灾害,地震,中国,1,3,60056,60000.0
2003,中国,地球物理灾害,地震,中国,1,9,275043,40000.0
2003,中国,地球物理灾害,地震,中国,1,1,23369,0.0
2003,中国,地球物理灾害,地震,中国,1,4,493065,0.0
2003,中国,地球物理灾害,地震,中国,1,11,6018,1933.0
2003,中国,地球物理灾害,地震,中国,1,0,10004,0.0
2004,中国,地球物理灾害,地震,中国,1,0,190100,74000.0
2004,中国,地球物理灾害,地震,中国,1,4,120600,50000.0
2004,中国,地球物理灾害,地震,中国,1,0,100012,0.0
2004,中国,地球物理灾害,地震,中国,1,0,22019,0.0
2004,中国,地球物理灾害,地震,中国,1,0,4199,0.0
2005,中国,地球物理灾害,地震,中国,1,16,615500,0.0
2005,中国,地球物理灾害,地震,中国,1,0,18509,0.0
2006,中国,地球物理灾害,地震,中国,1,0,68761,6900.0
2006,中国,地球物理灾害,地震,中国,1,22,265106,0.0
2006,中国,地球物理灾害,地震,中国,1,0,130,0.0
2006,中国,地球物理灾害,地震,中国,1,1,45551,0.0
2006,中国,地球物理灾害,地震,中国,1,0,20000,0.0
2006,中国,地球物理灾害,地震,中国,1,0,12000,291.0
2007,中国,地球物理灾害,地震,中国,1,3,329,342000.0
2008,中国,地球物理灾害,地震,中国,1,87476,45976596,85000000.0
2008,中国,地球物理灾害,地震,中国,1,4,13529,0.0
2008,中国,地球物理灾害,地震,中国,1,6,160,0.0
2008,中国,地球物理灾害,地震,中国,1,40,1000589,492000.0
2008,中国,地球物理灾害,地震,中国,1,30,754,0.0
2008,中国,地球物理灾害,地震,中国,1,0,27169,0.0
2008,中国,地球物理灾害,地震,中国,1,8,351000,0.0
2009,中国,地球物理灾害,地震,中国,1,0,4549,3100.0
2009,中国,地球物理灾害,地震,中国,1,1,65336,315000.0
2010,中国,地球物理灾害,地震,中国,1,1,10515,4400.0
2010,中国,地球物理灾害,地震,中国,1,0,50011,0.0
2010,中国,地球物理灾害,地震,中国,1,2968,112000,500000.0
2010,中国,地球物理灾害,地震,中国,1,8,9,0.0
2010,中国,地球物理灾害,地震,中国,1,0,5014,0.0
2011,中国,地球物理灾害,地震,中国,1,0,64501,0.0
2011,中国,地球物理灾害,地震,中国,1,25,5440,290000.0
2011,中国,地球物理灾害,地震,中国,1,0,9508,0.0
2011,中国,地球物理灾害,地震,中国,1,7,5136,0.0
2011,中国,地球物理灾害,地震,中国,1,0,258,0.0
2011,中国,地球物理灾害,地震,中国,1,0,143000,56400.0
2011,中国,地球物理灾害,地震,中国,1,0,1616,0.0
2012,中国,地球物理灾害,地震,中国,1,4,34234,300000.0
2012,中国,地球物理灾害,地震,中国,1,0,155052,68000.0
2012,中国,地球物理灾害,地震,中国,1,81,744821,1000000.0
2012,中国,地球物理灾害,地震,中国,1,1,2610,0.0
2012,中国,地球物理灾害,地震,中国,1,0,5500,96000.0
2012,中国,地球物理灾害,地震,中国,1,0,36641,84000.0
2013,中国,地球物理灾害,地震,中国,1,0,427740,56000.0
2013,中国,地球物理灾害,地震,中国,1,198,2198785,6800000.0
2013,中国,地球物理灾害,地震,中国,1,95,123887,1000000.0
2013,中国,地球物理灾害,地震,中国,1,3,538050,155000.0
2013,中国,地球物理灾害,地震,中国,1,0,58300,0.0
2013,中国,地球物理灾害,地震,中国,1,0,90500,6300.0
2013,中国,地球物理灾害,地震,中国,1,0,80555,38000.0
2013,中国,地球物理灾害,地震,中国,1,0,2000,0.0
2014,中国,地球物理灾害,地震,中国,1,0,450000,174000.0
2014,中国,地球物理灾害,地震,中国,1,0,75021,80000.0
2014,中国,地球物理灾害,地震,中国,1,0,225015,60000.0
2014,中国,地球物理灾害,地震,中国,1,0,184723,2000.0
2014,中国,地球物理灾害,地震,中国,1,731,1120513,5000000.0
2014,中国,地球物理灾害,地震,中国,1,1,255324,274000.0
2014,中国,地球物理灾害,地震,中国,1,5,82355,50000.0
2014,中国,地球物理灾害,地震,中国,1,1,2022,0.0
2015,中国,地球物理灾害,地震,中国,1,0,8640,14650.0
2015,中国,地球物理灾害,地震,中国,1,0,2032,15000.0
2015,中国,地球物理灾害,地震,中国,1,29,207883,0.0
2015,中国,地球物理灾害,地震,中国,1,1,0,0.0
2015,中国,地球物理灾害,地震,中国,1,3,9263,3200.0
2016,中国,地球物理灾害,地震,中国,1,1,37200,5500.0
2016,中国,地球物理灾害,地震,中国,1,0,9120,135000.0
2016,中国,地球物理灾害,地震,中国,1,2,5000,60000.0
2017,中国,地球物理灾害,地震,中国,1,0,2106,31000.0
2017,中国,地球物理灾害,地震,中国,1,8,4583,2000.0
2017,中国,地球物理灾害,地震,中国,1,29,218325,500000.0
2017,中国,地球物理灾害,地震,中国,1,0,23403,0.0
2018,中国,地球物理灾害,地震,中国,1,0,12000,7000.0
2018,中国,地球物理灾害,地震,中国,1,0,18024,0.0
1909,伊朗,地球物理灾害,地震,西亚/中东,1,5000,0,0.0
1929,伊朗,地球物理灾害,地震,西亚/中东,1,3300,1121,0.0
1930,伊朗,地球物理灾害,地震,西亚/中东,1,2500,0,0.0
1947,伊朗,地球物理灾害,地震,西亚/中东,1,400,0,0.0
1948,伊朗,地球物理灾害,地震,西亚/中东,1,200,6000,0.0
1953,伊朗,地球物理灾害,地震,西亚/中东,1,1000,0,0.0
1956,伊朗,地球物理灾害,地震,西亚/中东,1,350,0,0.0
1957,伊朗,地球物理灾害,地震,西亚/中东,1,2500,10000,0.0
1957,伊朗,地球物理灾害,地震,西亚/中东,1,3000,5000,0.0
1957,伊朗,地球物理灾害,地震,西亚/中东,1,44,0,0.0
1958,伊朗,地球物理灾害,地震,西亚/中东,1,191,984,0.0
1960,伊朗,地球物理灾害,地震,西亚/中东,1,480,0,0.0
1961,伊朗,地球物理灾害,地震,西亚/中东,1,60,0,0.0
1962,伊朗,地球物理灾害,地震,西亚/中东,1,12000,103000,30000.0
1968,伊朗,地球物理灾害,地震,西亚/中东,1,38,5100,1000.0
1968,伊朗,地球物理灾害,地震,西亚/中东,1,10000,79050,35000.0
1969,伊朗,地球物理灾害,地震,西亚/中东,1,50,48300,0.0
1970,伊朗,地球物理灾害,地震,西亚/中东,1,176,10000,8000.0
1972,伊朗,地球物理灾害,地震,西亚/中东,1,5057,23458,1000.0
1976,伊朗,地球物理灾害,地震,西亚/中东,1,16,0,0.0
1977,伊朗,地球物理灾害,地震,西亚/中东,1,167,20682,0.0
1977,伊朗,地球物理灾害,地震,西亚/中东,1,352,400200,0.0
1977,伊朗,地球物理灾害,地震,西亚/中东,1,3,9,0.0
1977,伊朗,地球物理灾害,地震,西亚/中东,1,3,15,0.0
1977,伊朗,地球物理灾害,地震,西亚/中东,1,589,500,0.0
1978,伊朗,地球物理灾害,地震,西亚/中东,1,25000,40000,50000.0
1978,伊朗,地球物理灾害,地震,西亚/中东,1,45,52,0.0
1979,伊朗,地球物理灾害,地震,西亚/中东,1,199,5200,0.0
1979,伊朗,地球物理灾害,地震,西亚/中东,1,350,15055,0.0
1979,伊朗,地球物理灾害,地震,西亚/中东,1,16,23,0.0
1980,伊朗,地球物理灾害,地震,西亚/中东,1,20,0,0.0
1980,伊朗,地球物理灾害,地震,西亚/中东,1,4,100,0.0
1980,伊朗,地球物理灾害,地震,西亚/中东,1,26,0,0.0
1981,伊朗,地球物理灾害,地震,西亚/中东,1,2000,3000,5000.0
1981,伊朗,地球物理灾害,地震,西亚/中东,1,1200,31000,1000000.0
1983,伊朗,地球物理灾害,地震,西亚/中东,1,30,7066,0.0
1983,伊朗,地球物理灾害,地震,西亚/中东,1,3,416,5000.0
1985,伊朗,地球物理灾害,地震,西亚/中东,1,1,7080,0.0
1986,伊朗,地球物理灾害,地震,西亚/中东,1,1,1504,0.0
1986,伊朗,地球物理灾害,地震,西亚/中东,1,0,400,0.0
1987,伊朗,地球物理灾害,地震,西亚/中东,1,0,1500,0.0
1987,伊朗,地球物理灾害,地震,西亚/中东,1,2,50,0.0
1987,伊朗,地球物理灾害,地震,西亚/中东,1,0,2425,0.0
1988,伊朗,地球物理灾害,地震,西亚/中东,1,0,3524,0.0
1988,伊朗,地球物理灾害,地震,西亚/中东,1,1,10000,0.0
1988,伊朗,地球物理灾害,地震,西亚/中东,1,0,3030,0.0
1989,伊朗,地球物理灾害,地震,西亚/中东,1,100,217,0.0
1989,伊朗,地球物理灾害,地震,西亚/中东,1,0,1500,0.0
1990,伊朗,地球物理灾害,地震,西亚/中东,1,40000,710000,8000000.0
1990,伊朗,地球物理灾害,地震,西亚/中东,1,21,22400,232300.0
1991,伊朗,地球物理灾害,地震,西亚/中东,1,0,1501,0.0
1992,伊朗,地球物理灾害,地震,西亚/中东,1,5,4050,0.0
1993,伊朗,地球物理灾害,地震,西亚/中东,1,24,4049,0.0
1993,伊朗,地球物理灾害,地震,西亚/中东,1,0,1003,0.0
1994,伊朗,地球物理灾害,地震,西亚/中东,1,9,1500,1400.0
1994,伊朗,地球物理灾害,地震,西亚/中东,1,3,15041,0.0
1994,伊朗,地球物理灾害,地震,西亚/中东,1,2,100,0.0
1997,伊朗,地球物理灾害,地震,西亚/中东,1,100,84500,30000.0
1997,伊朗,地球物理灾害,地震,西亚/中东,1,1100,38600,76000.0
1997,伊朗,地球物理灾害,地震,西亚/中东,1,1568,74600,100000.0
1997,伊朗,地球物理灾害,地震,西亚/中东,1,0,25500,0.0
1998,伊朗,地球物理灾害,地震,西亚/中东,1,5,1500,0.0
1998,伊朗,地球物理灾害,地震,西亚/中东,1,12,2935,0.0
1998,伊朗,地球物理灾害,地震,西亚/中东,1,5,4355,0.0
1998,伊朗,地球物理灾害,地震,西亚/中东,1,0,500,0.0
